#x y
4.58222 2.77778
4.73469 3.008
4.85091 3.2555
4.9394 3.51717
4.97967 3.78458
4.991 4.05711
4.96393 4.32765
4.90837 4.59558
4.80757 4.84778
4.67282 5.08339
4.51464 5.30414
4.3198 5.49428
4.10722 5.66277
3.8662 5.79266
3.61465 5.89566
3.35006 5.96231
3.07722 5.99073
2.80562 5.98858
2.531 5.93745
2.30547 5.96893
2.08409 5.99431
1.86212 5.99475
1.64121 5.96032
1.4302 5.95097
1.22222 5.97778
1.01162 5.99088
0.800623 5.98014
0.59013 5.95552
0.386237 5.89772
0.187187 5.82689
0.00146207 5.72495
-0.17541 5.6119
-0.337778 5.47978
-0.483378 5.33039
-0.616237 5.1737
-0.729441 5.00322
-0.821316 4.82132
-1.00322 4.72944
-1.1737 4.61624
-1.33039 4.48338
-1.47978 4.33778
-1.6119 4.17541
-1.72495 3.99854
-1.82689 3.81281
-1.89772 3.61376
-1.95552 3.40987
-1.98014 3.19938
-1.99088 2.98838
-1.97778 2.77778
-1.95097 2.5698
-1.96032 2.35879
-1.99475 2.13788
-1.99431 1.91591
-1.96893 1.69453
-1.93745 1.469
-1.98858 1.19438
-1.99073 0.922778
-1.96231 0.649944
-1.89566 0.385345
-1.79266 0.133801
-1.66277 -0.107218
-1.49428 -0.319802
-1.30414 -0.514639
-1.08339 -0.672821
-0.847778 -0.807567
-0.595584 -0.908369
-0.327646 -0.963934
-0.0571068 -0.991004
0.215416 -0.979674
0.48283 -0.939398
0.727528 -0.979798
0.974998 -0.994129
1.22222 -0.982222
1.46618 -0.944236
1.70256 -0.870739
1.9265 -0.762857
2.13844 -0.6416
2.33119 -0.489131
2.50421 -0.317219
2.65081 -0.119121
2.77722 0.0844388
2.87227 0.308313
2.93893 0.540521
2.98268 0.770365
2.99706 1.00294
2.98153 1.23491
2.9438 1.45677
2.88516 1.66664
2.79839 1.86778
2.76484 2.01704
3.08846 2.00476
3.39069 2.04168
3.67567 2.12038
3.939 2.23738
4.17673 2.38881
4.39541 2.5698
4.58222 2.77778
